id,id,market_cap_usd,market_cap_percentage
bitcoin,bitcoin,213049346738.0,56.9186685006425
ethereum,ethereum,43529446198.0,11.629409599680306
bitcoin-cash,bitcoin-cash,25295852764.0,6.758088114139099
iota,iota,14752245796.0,3.9412380322157254
ripple,ripple,9365343263.0,2.502062910509475
dash,dash,5794075569.0,1.5479562440768577
litecoin,litecoin,5634497528.0,1.505323071270978
bitcoin-gold,bitcoin-gold,4920065049.0,1.314453931980441
monero,monero,4331687542.0,1.157261878651351
cardano,cardano,3231420437.0,0.8633124271720588
